Category Name,ID,Required Item Specifics
"Clothes, Shoes & Accessories>Women>Women's Clothing>Activewear>Activewear Skirts & Skorts",261046,"Brand, Colour, Department, Size, Style, Type"
"Clothes, Shoes & Accessories>Women>Women's Clothing>Activewear>Activewear Tops",185082,"Brand, Colour, Department, Size, Type"
"Clothes, Shoes & Accessories>Women>Women's Clothing>Activewear>Hoodies & Sweatshirts",155226,"Style, Brand, Colour, Department, Size, Type"
"Clothes, Shoes & Accessories>Women>Women's Clothing>Coats, Jackets & Waistcoats",63862,"Brand, Size, Type, Outer Shell Material, Colour, Style, Department"
"Clothes, Shoes & Accessories>Women>Women's Clothing>Dresses",63861,"Brand, Size, Dress Length, Colour, Style, Department"
"Clothes, Shoes & Accessories>Women>Women's Clothing>Jeans",11554,"Brand, Colour, Department, Size, Style, Type"
"Clothes, Shoes & Accessories>Women>Women's Clothing>Jumpers & Cardigans",63866,"Brand, Size, Style, Type, Colour, Neckline, Department"
"Clothes, Shoes & Accessories>Women>Women's Clothing>Skirts",63864,"Brand, Size, Type, Skirt Length, Colour, Style, Department"
"Clothes, Shoes & Accessories>Women>Women's Clothing>Shorts",11555,"Brand, Colour, Department, Size, Style"
"Clothes, Shoes & Accessories>Women>Women's Clothing>Tops & Shirts",53159,"Brand, Size, Type, Colour, Department, Sleeve Length"
"Clothes, Shoes & Accessories>Women>Women's Clothing>Trousers",63863,"Brand, Colour, Department, Size, Style, Type"
"Clothes, Shoes & Accessories>Kids>Boys>Boys' Clothing (2-16 Years)>Activewear>Activewear Jackets",260968,"Brand, Colour, Department, Outer Shell Material, Size, Style, Type"
"Clothes, Shoes & Accessories>Kids>Boys>Boys' Clothing (2-16 Years)>Activewear>Activewear Trousers",260969,"Brand, Colour, Department, Size, Style, Type"
"Clothes, Shoes & Accessories>Kids>Boys>Boys' Clothing (2-16 Years)>Activewear>Activewear Shorts",260970,"Brand, Colour, Department, Size, Style"
"Clothes, Shoes & Accessories>Kids>Boys>Boys' Clothing (2-16 Years)>Activewear>Activewear Tops",260971,"Brand, Colour, Department, Size, Style, Type"
"Clothes, Shoes & Accessories>Kids>Boys>Boys' Clothing (2-16 Years)>Hoodies",57916,"Style, Brand, Colour, Department, Size, Type"
"Clothes, Shoes & Accessories>Kids>Boys>Boys' Clothing (2-16 Years)>Outerwear",51933,"Brand, Colour, Department, Outer Shell Material, Size, Style, Type"
"Clothes, Shoes & Accessories>Kids>Boys>Boys' Clothing (2-16 Years)>Shorts",15615,"Brand, Colour, Department, Size, Style"
"Clothes, Shoes & Accessories>Kids>Boys>Boys' Clothing (2-16 Years)>T-Shirts, Tops & Shirts ",260966,"Brand, Colour, Department, Size, Type"
"Clothes, Shoes & Accessories>Kids>Girls>Girls' Clothing (2-16 Years)>Activewear>Activewear Jackets",260975,"Brand, Colour, Department, Outer Shell Material, Size, Style, Type"
"Clothes, Shoes & Accessories>Kids>Girls>Girls' Clothing (2-16 Years)>Activewear>Hoodies",152554,"Brand, Colour, Department, Size, Style, Type"
